category,changed_from_baseline,frequency
gasmask,-0.05999999999999994,0
sundial,-0.05999999999999994,0
echidna,-0.05999999999999994,0
hornbill,-0.05999999999999994,0
peacock,-0.05999999999999994,0
leonberg,-0.05999999999999994,0
ringneck snake,-0.05999999999999994,0
parallel bars,-0.05999999999999994,0
fireboat,-0.05999999999999994,0
croquet ball,-0.05999999999999994,0
cuirass,-0.05999999999999994,0
leatherback turtle,-0.05999999999999994,0
tailed frog,-0.05999999999999994,0
cowboy hat,-0.05999999999999994,0
entertainment center,-0.05999999999999994,0
go-kart,-0.05999999999999994,0
cauliflower,-0.05999999999999994,0
bookshop,-0.05999999999999994,0
english setter,-0.05999999999999994,0
irish setter,-0.05999999999999994,0
proboscis monkey,-0.05999999999999994,0
liner,-0.05999999999999994,1
crossword puzzle,-0.05999999999999994,0
arabian camel,-0.05999999999999994,0
sulphur butterfly,-0.05999999999999994,0
siberian husky,-0.05999999999999994,0
windsor tie,-0.06,0
silky terrier,-0.06,0
indian elephant,-0.06,0
frilled lizard,-0.06,0
swimming trunks,-0.06,0
barracouta,-0.06,0
cleaver,-0.06,0
pencil sharpener,-0.06,0
iron,-0.06,2
safety pin,-0.06,0
rubber eraser,-0.06,0
shower curtain,-0.06,0
flute,-0.06,0
projectile,-0.06,0
hook,-0.060000000000000005,0
french horn,-0.060000000000000026,0
malamute,-0.06000000000000005,0
butcher shop,-0.06000000000000005,0
solar dish,-0.06000000000000005,0
pinwheel,-0.06000000000000005,0
conch,-0.06000000000000005,0
fountain pen,-0.06000000000000005,0
drilling platform,-0.06000000000000005,0
bassoon,-0.06000000000000005,0
ocarina,-0.06000000000000005,0
book jacket,-0.06000000000000005,0
paddlewheel,-0.06000000000000005,0
cowboy boot,-0.06000000000000005,0
panpipe,-0.06000000000000005,0
otterhound,-0.06000000000000005,0
white stork,-0.06000000000000005,0
hermit crab,-0.06000000000000005,0
apiary,-0.06000000000000005,0
gibbon,-0.06000000000000005,0
abaya,-0.07999999999999996,0
acoustic guitar,-0.07999999999999996,0
trench coat,-0.07999999999999996,0
trolleybus,-0.07999999999999996,0
tarantula,-0.07999999999999996,0
magpie,-0.07999999999999996,0
mortarboard,-0.07999999999999996,0
rugby ball,-0.07999999999999996,0
neck brace,-0.07999999999999996,0
yorkshire terrier,-0.07999999999999996,0
padlock,-0.07999999999999996,0
chambered nautilus,-0.07999999999999996,0
chiton,-0.07999999999999996,0
bakery,-0.07999999999999996,2
standard poodle,-0.07999999999999996,0
face powder,-0.07999999999999996,0
disk brake,-0.07999999999999996,0
espresso maker,-0.07999999999999996,0
harmonica,-0.07999999999999996,0
breakwater,-0.07999999999999996,0
jinrikisha,-0.07999999999999999,0
kite,-0.07999999999999999,2
egyptian cat,-0.08000000000000002,0
lens cap,-0.08000000000000002,0
stole,-0.08000000000000002,0
sunglass,-0.08000000000000002,10
box turtle,-0.08000000000000002,0
analog clock,-0.08000000000000002,0
tape player,-0.08000000000000002,0
bell cote,-0.08000000000000002,0
digital clock,-0.08000000000000007,0
desktop computer,-0.08000000000000007,0
mink,-0.08000000000000007,0
military uniform,-0.08000000000000007,0
indri,-0.08000000000000007,0
norwegian elkhound,-0.08000000000000007,0
sloth bear,-0.08000000000000007,0
rotisserie,-0.08000000000000007,0
albatross,-0.08000000000000007,0
bobsled,-0.08000000000000007,0
malinois,-0.08000000000000007,0
sea lion,-0.08000000000000007,0
fiddler crab,-0.08000000000000007,0
sealyham terrier,-0.08000000000000007,0
samoyed,-0.08000000000000007,0
american lobster,-0.09999999999999998,0
italian greyhound,-0.09999999999999998,0
black-and-tan coonhound,-0.09999999999999998,0
spiny lobster,-0.09999999999999998,0
rhinoceros beetle,-0.09999999999999998,0
spoonbill,-0.09999999999999998,0
european gallinule,-0.09999999999999998,0
custard apple,-0.09999999999999998,0
water buffalo,-0.09999999999999998,0
red wine,-0.09999999999999998,0
picket fence,-0.09999999999999998,0
bagel,-0.09999999999999998,0
thresher,-0.09999999999999998,0
hoopskirt,-0.09999999999999998,0
harp,-0.09999999999999998,0
loggerhead,-0.09999999999999998,0
head cabbage,-0.09999999999999998,0
groom,-0.09999999999999998,1
blenheim spaniel,-0.1,0
pickelhaube,-0.10000000000000003,0
entlebucher,-0.10000000000000003,0
barber chair,-0.10000000000000003,0
coho,-0.10000000000000009,0
binoculars,-0.11999999999999994,0
steel drum,-0.12,0
steel arch bridge,-0.12,0
saluki,-0.12,0
wire-haired fox terrier,-0.12,0
acorn squash,-0.12,0
stethoscope,-0.12,0
bathing cap,-0.12,0
racket,-0.12,3
japanese spaniel,-0.12,0
sliding door,-0.12,0
curly-coated retriever,-0.12,0
tusker,-0.12,0
soap dispenser,-0.12,0
common iguana,-0.12,0
european fire salamander,-0.12,0
brambling,-0.12,0
electric ray,-0.12,0
hammerhead,-0.12,0
standard schnauzer,-0.12,0
consomme,-0.12,0
electric guitar,-0.12,0
cello,-0.12,0
african hunting dog,-0.12,0
modem,-0.12,0
miniskirt,-0.12,0
miniature pinscher,-0.12,0
long-horned beetle,-0.12,0
hamper,-0.12,0
cocktail shaker,-0.12,0
sarong,-0.12,0
welsh springer spaniel,-0.12,0
slide rule,-0.12,0
knee pad,-0.12,0
trimaran,-0.12,0
boathouse,-0.12,0
basketball,-0.12,0
german short-haired pointer,-0.12,0
cd player,-0.12,0
espresso,-0.13999999999999996,0
